stroke_id,x,y,time,is_writing
0,125.0,14.0,0.0,1
0,120.0,14.0,53.4063720703125,1
0,89.0,14.0,384.525634765625,1
0,69.0,17.0,600.540771484375,1
0,56.0,21.0,745.82177734375,1
0,47.0,28.0,867.60693359375,1
0,27.0,42.0,1128.369873046875,1
0,13.5,48.0,1286.167236328125,1
0,6.75,51.0,1365.06591796875,1
0,0.0,54.0,1443.964599609375,1
0,0.0,58.0,1486.689697265625,1
0,3.0,59.0,1520.466796875,1
0,4.5,59.5,1537.35546875,1
0,6.0,60.0,1554.243896484375,1
0,20.0,71.0,1744.41845703125,1
0,28.0,80.0,1873.0380859375,1
0,33.0,81.5,1928.7958984375,1
0,38.0,83.0,1984.5537109375,1
0,55.0,82.0,2166.44921875,1
0,70.0,77.0,2335.3349609375,1
0,77.5,74.5,2419.77734375,1
0,85.0,72.0,2504.22021484375,1
0,103.0,65.0,2710.509765625,1
0,132.0,56.0,3034.8408203125,1
0,136.5,53.0,3092.6083984375,1
0,141.0,50.0,3150.37646484375,1
0,139.75,40.25,3255.37109375,1
0,139.125,35.375,3307.8681640625,1
0,138.8125,32.9375,3334.1171875,1
0,138.5,30.5,3360.36572265625,1
0,137.25,20.75,3465.3603515625,1
0,136.625,15.875,3517.85791015625,1
0,136.3125,13.4375,3544.1064453125,1
0,136.0,11.0,3570.35498046875,1
0,131.0,8.25,3631.30615234375,1
0,128.5,6.875,3661.78173828125,1
0,127.25,6.1875,3677.01953125,1
0,126.0,5.5,3692.25732421875,1
0,121.0,2.75,3753.20849609375,1
0,118.5,1.375,3783.68408203125,1
0,117.25,0.6875,3798.921875,1
0,116.0,0.0,3814.15966796875,1
0,114.0,0.0,3835.52197265625,1
0,113.0,4.0,3879.56201171875,1
0,93.0,9.0,4099.76220703125,1
0,75.0,12.0,4294.6767578125,1
0,34.0,24.0,4750.98095703125,1
0,18.0,31.0,4937.52099609375,1
0,12.0,37.0,5028.15478515625,1
0,8.0,46.0,5133.35302734375,1
0,4.0,62.0,5309.5126953125,1
0,6.0,70.0,5397.5927734375,1
0,11.75,71.25,5460.44482421875,1
0,14.625,71.875,5491.87060546875,1
0,16.0625,72.1875,5507.58349609375,1
0,17.5,72.5,5523.29638671875,1
0,23.25,73.75,5586.1484375,1
0,26.125,74.375,5617.57421875,1
0,27.5625,74.6875,5633.287109375,1
0,29.0,75.0,5649.0,1
